universe,model,fold,IC_mean_mean,IC_mean_std,Sharpe_gross_mean,Sharpe_gross_std,Sharpe_net_0bps_mean,Sharpe_net_0bps_std,Sharpe_net_5bps_mean,Sharpe_net_5bps_std,Sharpe_net_10bps_mean,Sharpe_net_10bps_std,Sharpe_net_15bps_mean,Sharpe_net_15bps_std,Sharpe_net_20bps_mean,Sharpe_net_20bps_std,Sharpe_net_30bps_mean,Sharpe_net_30bps_std
B,GAT,0,-0.0224,0.0114,0.171,0.4419,0.171,0.4419,0.0434,0.45,-0.0828,0.459,-0.2077,0.4685,-0.3312,0.4786,-0.5742,0.4999
B,GAT,1,0.0089,0.0081,0.4218,0.3201,0.4218,0.3201,0.3434,0.3175,0.2662,0.3156,0.1901,0.3143,0.115,0.3136,-0.032,0.3138
B,GAT,2,0.0942,0.014,4.2858,1.1434,4.2858,1.1434,4.1657,1.1477,4.0452,1.1523,3.9243,1.1572,3.803,1.1624,3.5592,1.1736
B,GAT,3,0.0065,0.0409,-0.5797,0.546,-0.5797,0.546,-0.654,0.5423,-0.7289,0.5394,-0.8047,0.5374,-0.8812,0.5363,-1.0367,0.5372
B,GAT,4,0.0893,0.0798,3.1865,3.6625,3.1865,3.6625,3.0227,3.6348,2.8575,3.6081,2.691,3.5824,2.523,3.5577,2.1829,3.5116
B,LightGBM,0,0.0275,0.0027,1.8466,0.2711,1.8466,0.2711,1.728,0.2612,1.6108,0.2518,1.495,0.2431,1.3807,0.235,1.1563,0.2209
B,LightGBM,1,-0.0204,0.0024,0.0891,0.185,0.0891,0.185,-0.0513,0.1849,-0.1886,0.1854,-0.3227,0.1865,-0.454,0.188,-0.7076,0.1922
B,LightGBM,2,0.0753,0.0049,4.5637,0.6417,4.5637,0.6417,4.3231,0.6417,4.081,0.644,3.8377,0.6485,3.5934,0.6551,3.1022,0.6745
B,LightGBM,3,-0.0122,0.0066,-1.0296,0.2958,-1.0296,0.2958,-1.1302,0.2939,-1.2324,0.2925,-1.3361,0.2916,-1.4415,0.2914,-1.657,0.2928
B,LightGBM,4,-0.0399,0.026,-7.1135,4.5057,-7.1135,4.5057,-7.7599,4.9321,-8.4335,5.4155,-9.1368,5.9668,-9.8726,6.5998,-11.4575,8.1799
B,MLP,0,0.0085,0.0064,1.0047,0.5882,1.0047,0.5882,0.84,0.5766,0.6783,0.5724,0.5194,0.575,0.3633,0.5834,0.0592,0.6135
B,MLP,1,0.0216,0.0091,0.4237,0.2331,0.4237,0.2331,0.3385,0.2266,0.2546,0.2204,0.172,0.2146,0.0906,0.2091,-0.0686,0.1992
B,MLP,2,0.0929,0.0132,4.1914,0.8733,4.1914,0.8733,4.0485,0.8609,3.905,0.8499,3.7609,0.8407,3.6164,0.8332,3.3259,0.8239
B,MLP,3,-0.0244,0.0234,-0.6334,0.5888,-0.6334,0.5888,-0.7162,0.5841,-0.7997,0.5797,-0.8841,0.5755,-0.9693,0.5718,-1.1423,0.5653
B,MLP,4,0.0477,0.0717,4.9806,10.376,4.9806,10.376,4.5918,9.6234,4.1843,8.8225,3.7661,7.9991,3.3446,7.1783,2.5162,5.6303
B,SAGE-Mean,0,-0.0147,0.0113,-0.0521,0.6203,-0.0521,0.6203,-0.1927,0.6368,-0.3315,0.6539,-0.4684,0.6717,-0.6036,0.6899,-0.8688,0.7275
B,SAGE-Mean,1,0.0039,0.0125,0.0083,0.4035,0.0083,0.4035,-0.1003,0.4009,-0.2075,0.4011,-0.3132,0.404,-0.4176,0.4094,-0.6222,0.427
B,SAGE-Mean,2,0.0733,0.0231,3.681,1.147,3.681,1.147,3.5404,1.1344,3.3992,1.1226,3.2575,1.1118,3.1152,1.1019,2.829,1.0851
B,SAGE-Mean,3,-0.0034,0.0347,0.9006,2.5796,0.9006,2.5796,0.7769,2.5124,0.6507,2.442,0.5218,2.3682,0.3901,2.2908,0.1179,2.1246
B,SAGE-Mean,4,0.0999,0.0945,5.0228,4.4691,5.0228,4.4691,4.817,4.4,4.6058,4.3275,4.3893,4.2519,4.1674,4.1733,3.7078,4.009
C,GAT,0,-0.0132,0.0167,-0.1662,1.5958,-0.1662,1.5958,-0.485,1.5655,-0.7952,1.5589,-1.0969,1.5749,-1.3904,1.6113,-1.9536,1.7336
C,GAT,1,0.0071,0.0124,0.3034,0.4977,0.3034,0.4977,0.2053,0.513,0.1081,0.5309,0.0117,0.551,-0.0838,0.573,-0.2724,0.6217
C,GAT,2,0.0882,0.0165,4.6499,1.6984,4.6499,1.6984,4.3919,1.6196,4.1323,1.5494,3.8712,1.4894,3.6087,1.4412,3.0794,1.3859
C,GAT,3,-0.018,0.0155,0.1466,0.3081,0.1466,0.3081,0.056,0.3009,-0.0353,0.2954,-0.1273,0.2915,-0.2199,0.2896,-0.4071,0.2916
C,GAT,4,0.1498,0.0452,13.1845,22.3198,13.1845,22.3198,12.6161,21.3044,11.9938,20.1354,11.3344,18.8666,10.6546,17.551,9.2896,14.9566
C,LightGBM,0,0.0269,0.0043,0.7352,0.3725,0.7352,0.3725,0.5806,0.3709,0.4297,0.3714,0.2822,0.3738,0.138,0.3778,-0.1405,0.3894
C,LightGBM,1,0.0226,0.0139,0.3015,0.3851,0.3015,0.3851,0.2096,0.3779,0.119,0.3709,0.0296,0.3641,-0.0587,0.3574,-0.2317,0.3447
C,LightGBM,2,0.077,0.0202,5.3492,0.9068,5.3492,0.9068,5.1013,0.884,4.8522,0.8619,4.6022,0.8405,4.3513,0.8199,3.8477,0.7807
C,LightGBM,3,-0.0067,0.0073,-0.5196,0.5311,-0.5196,0.5311,-0.6733,0.5397,-0.8299,0.5504,-0.9894,0.5634,-1.152,0.5785,-1.4861,0.6155
C,LightGBM,4,0.1151,0.0075,6.1694,4.0918,6.1694,4.0918,5.8849,3.9385,5.5884,3.7693,5.281,3.5871,4.9637,3.3954,4.305,2.9982
C,MLP,0,0.001,0.0093,-0.5028,2.0901,-0.5028,2.0901,-0.7698,2.1166,-1.0298,2.1434,-1.2832,2.17,-1.5302,2.1963,-2.006,2.2471
C,MLP,1,0.0355,0.0086,0.6803,0.1976,0.6803,0.1976,0.5954,0.1935,0.5113,0.1896,0.428,0.1859,0.3455,0.1824,0.1829,0.1759
C,MLP,2,0.0865,0.0111,4.0061,0.9889,4.0061,0.9889,3.7853,0.9614,3.564,0.9369,3.3422,0.916,3.12,0.8991,2.6741,0.879
C,MLP,3,-0.0107,0.0203,-0.05,0.4838,-0.05,0.4838,-0.1246,0.485,-0.1997,0.4864,-0.2751,0.4881,-0.3511,0.4899,-0.5043,0.4941
C,MLP,4,0.1526,0.0241,7.1001,5.2789,7.1001,5.2789,6.8275,5.0629,6.5493,4.8403,6.2655,4.6121,5.976,4.3793,5.3802,3.9075
C,SAGE-Mean,0,-0.0007,0.0114,-0.9385,1.4097,-0.9385,1.4097,-1.1661,1.3827,-1.385,1.3642,-1.5959,1.3529,-1.7991,1.348,-2.1841,1.3531
C,SAGE-Mean,1,0.0144,0.0074,0.1016,0.5804,0.1016,0.5804,0.0132,0.5662,-0.0743,0.5523,-0.161,0.5386,-0.2468,0.525,-0.416,0.4987
C,SAGE-Mean,2,0.0839,0.0175,3.7061,1.1384,3.7061,1.1384,3.5168,1.1259,3.3266,1.1162,3.1356,1.1094,2.9437,1.1057,2.5575,1.1079
C,SAGE-Mean,3,-0.0022,0.0218,0.0438,0.5732,0.0438,0.5732,-0.0434,0.5873,-0.131,0.6018,-0.2188,0.6168,-0.3071,0.6321,-0.4846,0.6639
C,SAGE-Mean,4,0.1435,0.0484,5.1043,2.3256,5.1043,2.3256,4.9243,2.2786,4.7442,2.2331,4.5641,2.1893,4.3839,2.1471,4.0236,2.0678
